drive_time_sec,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50
Point1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point3,8,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point4,13,16,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point5,5,6,7,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point6,8,12,15,19,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point7,20,20,7,15,13,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point8,8,9,20,17,10,12,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point9,18,5,17,13,17,13,13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point10,9,19,9,6,6,18,11,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point11,8,8,15,13,15,14,14,9,17,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point12,5,6,6,17,18,5,10,7,17,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point13,10,13,8,11,11,20,10,13,13,9,12,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point14,10,18,14,15,6,18,11,8,6,7,14,10,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point15,19,9,7,14,8,14,13,7,19,8,6,9,10,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point16,6,14,13,16,18,16,12,13,13,15,9,6,12,13,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point17,11,11,8,18,7,8,15,9,10,5,12,18,16,14,7,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point18,5,9,6,13,8,14,6,8,17,11,11,13,8,12,14,9,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point19,14,9,7,19,17,19,14,9,13,9,9,10,16,11,6,16,20,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point20,15,16,9,13,7,15,7,19,9,19,8,13,18,18,10,20,13,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point21,17,10,8,8,20,14,7,19,12,17,6,10,12,11,9,10,9,5,8,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point22,7,11,18,7,16,8,18,13,7,11,19,9,8,13,5,12,16,17,6,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point23,14,5,13,10,14,11,19,11,20,19,16,13,9,6,17,15,16,5,13,13,9,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point24,19,15,13,18,19,17,14,19,11,11,14,11,11,15,14,8,15,14,18,5,17,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Point25,9,7,5,11,7,18,9,5,9,10,15,6,6,6,15,16,5,11,6,5,12,9,17,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
Point26,10,20,16,13,10,16,14,13,18,12,14,11,16,13,9,5,8,6,6,11,6,11,14,20,14,0,,,,,,,,,,,,,,,,,,,,,,,,
Point27,12,8,16,16,15,10,8,18,14,10,16,16,20,13,14,15,10,12,6,14,13,18,13,13,11,10,0,,,,,,,,,,,,,,,,,,,,,,,
Point28,20,8,11,19,15,19,10,14,9,19,12,11,10,15,15,12,15,9,8,17,9,8,8,20,7,7,16,0,,,,,,,,,,,,,,,,,,,,,,
Point29,5,14,9,17,15,10,17,6,10,15,19,13,15,20,15,6,9,6,16,12,15,19,7,16,15,7,10,5,0,,,,,,,,,,,,,,,,,,,,,
Point30,13,13,18,11,8,20,18,19,12,9,15,8,19,16,20,17,20,16,17,17,20,13,8,5,19,6,9,12,15,0,,,,,,,,,,,,,,,,,,,,
Point31,20,9,8,10,10,7,15,13,14,8,5,12,17,20,19,14,9,14,7,13,20,10,18,17,14,19,8,6,8,6,0,,,,,,,,,,,,,,,,,,,
Point32,6,7,6,6,19,13,18,17,12,13,7,16,18,13,17,11,13,13,9,18,18,17,16,16,15,12,15,11,13,18,14,0,,,,,,,,,,,,,,,,,,
Point33,15,6,5,7,19,19,6,11,10,18,19,18,19,15,20,17,10,7,13,8,18,16,16,8,8,8,10,13,5,11,7,16,0,,,,,,,,,,,,,,,,,
Point34,8,5,18,10,10,7,10,6,6,18,17,19,19,11,6,19,13,16,19,12,15,17,20,19,7,7,19,14,18,10,14,20,11,0,,,,,,,,,,,,,,,,
Point35,5,16,10,15,9,6,9,14,8,10,14,6,16,6,7,9,8,15,20,8,19,7,12,9,16,15,13,10,10,7,16,14,7,15,0,,,,,,,,,,,,,,,
Point36,19,14,19,18,14,7,8,16,6,12,19,8,11,16,17,10,12,8,8,20,8,10,18,5,17,6,9,16,8,20,5,10,18,9,19,0,,,,,,,,,,,,,,
Point37,11,8,14,16,13,8,8,18,8,18,15,9,7,18,19,8,11,15,5,17,9,18,17,9,5,13,7,5,8,18,15,18,5,17,13,11,0,,,,,,,,,,,,,
Point38,5,17,15,16,12,12,14,6,20,15,10,8,15,17,9,8,8,10,20,9,18,13,6,20,6,12,19,8,5,8,8,10,18,7,11,11,13,0,,,,,,,,,,,,
Point39,12,18,9,19,17,14,13,10,15,17,7,7,14,19,5,13,7,5,6,13,12,11,6,10,20,15,17,11,15,15,13,11,6,15,15,6,8,11,0,,,,,,,,,,,
Point40,19,14,9,14,20,7,19,12,19,6,18,8,18,18,20,12,12,17,14,12,19,13,9,11,6,17,16,9,11,14,7,11,11,15,12,19,10,17,5,0,,,,,,,,,,
Point41,6,15,8,6,17,7,7,17,11,7,19,6,13,20,12,17,6,12,15,10,8,18,20,10,9,13,14,8,20,16,5,17,19,6,16,18,5,19,14,14,0,,,,,,,,,
Point42,10,15,11,9,6,19,19,15,13,6,18,19,8,15,12,19,18,11,18,20,17,15,9,16,12,11,14,19,7,12,10,14,13,17,6,5,10,18,17,7,20,0,,,,,,,,
Point43,13,6,7,16,16,14,11,18,18,15,10,14,11,17,5,14,9,6,15,20,13,19,10,10,15,10,8,11,5,12,18,6,20,13,5,15,20,8,14,5,9,8,0,,,,,,,
Point44,5,12,5,15,17,16,6,10,5,6,5,8,9,11,19,20,18,6,8,20,12,16,20,6,17,7,7,8,16,10,14,13,20,13,20,14,19,14,11,10,12,7,15,0,,,,,,
Point45,18,11,6,17,6,9,19,8,12,9,9,10,17,13,13,17,18,17,6,12,18,10,16,18,18,5,10,20,14,10,9,10,18,16,12,17,9,13,10,7,5,7,17,16,0,,,,,
Point46,13,9,11,9,14,17,18,10,10,8,20,9,7,20,8,20,20,19,7,7,8,12,19,14,15,16,17,7,18,7,16,15,10,19,9,9,7,16,17,7,12,14,18,9,6,0,,,,
Point47,6,11,14,17,14,9,10,18,6,9,19,18,8,8,15,20,16,12,8,11,11,6,14,20,14,19,11,6,8,20,8,19,11,9,16,10,13,10,19,20,12,9,15,16,5,18,0,,,
Point48,14,18,18,12,10,9,6,14,14,10,10,18,14,18,10,14,12,13,20,19,14,7,8,8,12,7,18,7,14,16,12,12,8,14,20,9,15,11,17,12,13,16,19,15,18,13,8,0,,
Point49,9,18,20,13,13,13,12,17,14,16,19,12,11,18,12,20,19,6,12,19,17,16,12,6,7,13,7,15,5,20,5,17,7,13,10,15,14,13,14,18,15,11,18,10,11,17,17,18,0,
Point50,19,14,11,17,12,10,5,15,18,10,17,19,9,19,7,15,11,15,7,18,15,18,13,20,8,18,20,7,10,5,15,8,8,12,18,11,6,18,15,14,5,20,16,12,12,6,5,11,12,0
